================ Training Loss (Mon Apr 11 16:27:16 2022) ================
(epoch: 77, iters: 672, time: 0.042, data: 0.012) D_A: 0.306 G_A: 1.062 cycle_A: 0.532 idt_A: 0.291 D_B: 0.154 G_B: 0.526 cycle_B: 0.678 idt_B: 0.205 
(epoch: 78, iters: 544, time: 0.046, data: 0.011) D_A: 0.174 G_A: 0.481 cycle_A: 0.519 idt_A: 0.282 D_B: 0.205 G_B: 0.557 cycle_B: 0.619 idt_B: 0.218 
(epoch: 79, iters: 416, time: 0.043, data: 0.010) D_A: 0.163 G_A: 0.409 cycle_A: 0.465 idt_A: 0.247 D_B: 0.172 G_B: 0.485 cycle_B: 0.622 idt_B: 0.214 
(epoch: 80, iters: 288, time: 0.042, data: 0.011) D_A: 0.178 G_A: 0.456 cycle_A: 0.487 idt_A: 0.262 D_B: 0.205 G_B: 0.407 cycle_B: 0.662 idt_B: 0.220 
(epoch: 81, iters: 160, time: 0.042, data: 0.009) D_A: 0.280 G_A: 0.382 cycle_A: 0.500 idt_A: 0.255 D_B: 0.452 G_B: 0.640 cycle_B: 0.592 idt_B: 0.232 
(epoch: 82, iters: 32, time: 0.041, data: 0.006) D_A: 0.134 G_A: 0.573 cycle_A: 0.512 idt_A: 0.276 D_B: 0.239 G_B: 0.184 cycle_B: 0.686 idt_B: 0.208 
(epoch: 82, iters: 832, time: 0.041, data: 0.008) D_A: 0.151 G_A: 0.745 cycle_A: 0.453 idt_A: 0.220 D_B: 0.152 G_B: 0.448 cycle_B: 0.516 idt_B: 0.193 
(epoch: 83, iters: 704, time: 0.041, data: 0.007) D_A: 0.161 G_A: 0.366 cycle_A: 0.470 idt_A: 0.255 D_B: 0.154 G_B: 0.439 cycle_B: 0.596 idt_B: 0.200 
(epoch: 84, iters: 576, time: 0.046, data: 0.010) D_A: 0.121 G_A: 0.557 cycle_A: 0.458 idt_A: 0.234 D_B: 0.158 G_B: 0.413 cycle_B: 0.596 idt_B: 0.194 
(epoch: 85, iters: 448, time: 0.043, data: 0.010) D_A: 0.197 G_A: 0.464 cycle_A: 0.489 idt_A: 0.249 D_B: 0.184 G_B: 0.350 cycle_B: 0.623 idt_B: 0.238 
(epoch: 86, iters: 320, time: 0.042, data: 0.007) D_A: 0.290 G_A: 0.401 cycle_A: 0.443 idt_A: 0.238 D_B: 0.189 G_B: 0.408 cycle_B: 0.606 idt_B: 0.207 
(epoch: 87, iters: 192, time: 0.042, data: 0.011) D_A: 0.162 G_A: 0.423 cycle_A: 0.483 idt_A: 0.260 D_B: 0.275 G_B: 0.229 cycle_B: 0.630 idt_B: 0.198 
(epoch: 88, iters: 64, time: 0.044, data: 0.006) D_A: 0.143 G_A: 0.570 cycle_A: 0.542 idt_A: 0.252 D_B: 0.403 G_B: 1.290 cycle_B: 0.692 idt_B: 0.218 
(epoch: 88, iters: 864, time: 0.029, data: 0.008) D_A: 0.124 G_A: 0.493 cycle_A: 0.455 idt_A: 0.234 D_B: 0.160 G_B: 0.404 cycle_B: 0.597 idt_B: 0.216 
(epoch: 89, iters: 736, time: 0.044, data: 0.007) D_A: 0.140 G_A: 0.532 cycle_A: 0.447 idt_A: 0.216 D_B: 0.224 G_B: 0.266 cycle_B: 0.580 idt_B: 0.225 
(epoch: 90, iters: 608, time: 0.044, data: 0.010) D_A: 0.142 G_A: 0.730 cycle_A: 0.458 idt_A: 0.265 D_B: 0.212 G_B: 0.396 cycle_B: 0.686 idt_B: 0.210 
(epoch: 91, iters: 480, time: 0.044, data: 0.007) D_A: 0.150 G_A: 0.428 cycle_A: 0.454 idt_A: 0.238 D_B: 0.162 G_B: 0.485 cycle_B: 0.583 idt_B: 0.199 
(epoch: 92, iters: 352, time: 0.045, data: 0.008) D_A: 0.131 G_A: 0.775 cycle_A: 0.471 idt_A: 0.246 D_B: 0.178 G_B: 0.575 cycle_B: 0.626 idt_B: 0.205 
(epoch: 93, iters: 224, time: 0.044, data: 0.008) D_A: 0.115 G_A: 0.495 cycle_A: 0.442 idt_A: 0.224 D_B: 0.152 G_B: 0.705 cycle_B: 0.621 idt_B: 0.180 
(epoch: 94, iters: 96, time: 0.044, data: 0.007) D_A: 0.130 G_A: 0.355 cycle_A: 0.509 idt_A: 0.257 D_B: 0.282 G_B: 0.186 cycle_B: 0.679 idt_B: 0.237 
(epoch: 94, iters: 896, time: 0.030, data: 0.009) D_A: 0.179 G_A: 0.579 cycle_A: 0.490 idt_A: 0.253 D_B: 0.146 G_B: 0.468 cycle_B: 0.632 idt_B: 0.195 
(epoch: 95, iters: 768, time: 0.046, data: 0.008) D_A: 0.152 G_A: 0.405 cycle_A: 0.508 idt_A: 0.228 D_B: 0.313 G_B: 0.955 cycle_B: 0.573 idt_B: 0.210 
(epoch: 96, iters: 640, time: 0.043, data: 0.007) D_A: 0.153 G_A: 0.785 cycle_A: 0.531 idt_A: 0.247 D_B: 0.322 G_B: 0.175 cycle_B: 0.720 idt_B: 0.334 
(epoch: 97, iters: 512, time: 0.043, data: 0.010) D_A: 0.150 G_A: 0.442 cycle_A: 0.471 idt_A: 0.244 D_B: 0.167 G_B: 0.324 cycle_B: 0.604 idt_B: 0.184 
(epoch: 98, iters: 384, time: 0.047, data: 0.007) D_A: 0.153 G_A: 0.393 cycle_A: 0.462 idt_A: 0.222 D_B: 0.188 G_B: 0.565 cycle_B: 0.673 idt_B: 0.200 
(epoch: 99, iters: 256, time: 0.042, data: 0.007) D_A: 0.133 G_A: 0.834 cycle_A: 0.482 idt_A: 0.230 D_B: 0.157 G_B: 0.351 cycle_B: 0.585 idt_B: 0.221 
(epoch: 100, iters: 128, time: 0.044, data: 0.007) D_A: 0.100 G_A: 0.505 cycle_A: 0.527 idt_A: 0.238 D_B: 0.179 G_B: 0.498 cycle_B: 0.582 idt_B: 0.209 
(epoch: 100, iters: 928, time: 0.013, data: 0.010) D_A: 0.220 G_A: 0.857 cycle_A: 0.444 idt_A: 0.181 D_B: 0.173 G_B: 0.455 cycle_B: 0.472 idt_B: 0.171 
(epoch: 101, iters: 800, time: 0.046, data: 0.501) D_A: 0.131 G_A: 0.343 cycle_A: 0.555 idt_A: 0.217 D_B: 0.305 G_B: 0.120 cycle_B: 0.679 idt_B: 0.284 
(epoch: 102, iters: 672, time: 0.044, data: 0.006) D_A: 0.127 G_A: 0.369 cycle_A: 0.500 idt_A: 0.224 D_B: 0.183 G_B: 0.415 cycle_B: 0.586 idt_B: 0.192 
